CF 10 1 0 -748.65112837 101
CF 10 1 1 -746.64030066 101
CF 10 1 2 -749.18803260 101
CF 10 1 3 -748.71647537 101
CF 10 1 4 -748.96349589 101
CF 10 2 0 -766.28866111 103
CF 10 2 1 -762.41045113 103
CF 10 2 2 -761.99679763 103
CF 10 2 3 -760.42465788 103
CF 10 2 4 -760.95593548 103
CF 10 3 0 -776.92172711 105
CF 10 3 1 -770.42091041 105
CF 10 3 2 -771.71405152 105
CF 10 3 3 -773.41450849 105
CF 10 3 4 -762.42824052 103
CF 10 4 0 -779.20005624 105
CF 10 4 1 -774.17143448 105
CF 10 4 2 -775.67358811 105
CF 10 4 3 -776.07580338 105
CF 10 4 4 -774.82541181 105
CF 10 5 0 -789.99288563 107
CF 10 5 1 -784.61463957 107
CF 10 5 2 -783.36002339 107
CF 10 5 3 -775.17281923 105
CF 10 5 4 -762.84270563 103
CF 10 6 0 -779.76164219 105
CF 10 6 1 -774.97542312 105
CF 10 6 2 -773.03991078 105
CF 10 6 3 -773.15823275 105
CF 10 6 4 -772.33765104 105
CF 10 7 0 -785.64123466 107
CF 10 7 1 -783.54971772 107
CF 10 7 2 -782.70229906 107
CF 10 7 3 -767.11991318 105
CF 10 7 4 -769.77504394 105
CF 10 8 0 -788.88574481 107
CF 10 8 1 -781.73152851 107
CF 10 8 2 -781.25243012 107
CF 10 8 3 -779.99457403 107
CF 10 8 4 -782.87150258 107
CF 10 9 0 -795.67156890 109
CF 10 9 1 -791.96537872 109
CF 10 9 2 -792.92382014 109
CF 10 9 3 -792.39300140 109
CF 10 9 4 -785.46829753 108
CF 10 10 0 -804.21064587 110
CF 10 10 1 -799.18370282 110
CF 10 10 2 -800.17788150 110
CF 10 10 3 -799.54334893 110
CF 10 10 4 -800.93393394 110
CF 10 11 0 -817.19981094 112
CF 10 11 1 -812.27190701 112
CF 10 11 2 -811.46831520 112
CF 10 11 3 -811.08060784 112
CF 10 11 4 -810.83064165 112
CF 10 12 0 -824.96689900 114
CF 10 12 1 -819.23690141 114
CF 10 12 2 -819.73491238 114
CF 10 12 3 -819.19733194 114
CF 10 12 4 -818.39316346 114
