# key Si O C H F r(Si) r(O) r(C) r(H) r(F)
0.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan
1.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
2.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
3.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
4.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
5.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
6.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
7.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
8.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
9.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
1.000000000000000000e+02 nan nan nan nan nan nan nan nan nan nan
1.100000000000000000e+02 nan nan nan nan nan nan nan nan nan nan
1.200000000000000000e+02 nan nan nan nan nan nan nan nan nan nan
1.300000000000000000e+02 2.469135802469135943e-01 2.469135802469135943e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.469135802469135943e-01 3.333333333333333148e-01 3.333333333333333148e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.333333333333333148e-01
1.400000000000000000e+02 nan nan nan nan nan nan nan nan nan nan
1.500000000000000000e+02 nan nan nan nan nan nan nan nan nan nan
1.600000000000000000e+02 nan nan nan nan nan nan nan nan nan nan
1.700000000000000000e+02 nan nan nan nan nan nan nan nan nan nan
1.800000000000000000e+02 1.851851851851847641e+01 3.287037037037029563e+01 1.851851851851847641e+00 0.000000000000000000e+00 7.407407407407390565e+00 3.053435114503816883e-01 5.419847328244274953e-01 3.053435114503816675e-02 0.000000000000000000e+00 1.221374045801526670e-01
1.900000000000000000e+02 2.158730158730158877e+01 3.523809523809524080e+01 2.222222222222222321e+00 0.000000000000000000e+00 6.031746031746031633e+00 3.317073170731707488e-01 5.414634146341463783e-01 3.414634146341463672e-02 0.000000000000000000e+00 9.268292682926829174e-02
2.000000000000000000e+02 2.000000000000000000e+01 3.234567901234567699e+01 1.234567901234568055e+00 0.000000000000000000e+00 6.172839506172839386e+00 3.347107438016528880e-01 5.413223140495867503e-01 2.066115702479338900e-02 0.000000000000000000e+00 1.033057851239669450e-01
2.100000000000000000e+02 2.074074074074074403e+01 3.611111111111111427e+01 9.259259259259260411e-01 0.000000000000000000e+00 6.851851851851852970e+00 3.209169054441260993e-01 5.587392550143266412e-01 1.432664756446991490e-02 0.000000000000000000e+00 1.060171919770773602e-01
2.200000000000000000e+02 1.978319783197833104e+01 3.482384823848240529e+01 1.084010840108401652e+00 0.000000000000000000e+00 5.826558265582658436e+00 3.215859030837004418e-01 5.660792951541849805e-01 1.762114537444934084e-02 0.000000000000000000e+00 9.471365638766519879e-02
2.300000000000000000e+02 2.026143790849671333e+01 3.372549019607840393e+01 9.150326797385612831e-01 0.000000000000000000e+00 6.405228758169928760e+00 3.304904051172707913e-01 5.501066098081023314e-01 1.492537313432835792e-02 0.000000000000000000e+00 1.044776119402985037e-01
2.400000000000000000e+02 1.920634920634918430e+01 3.253968253968250224e+01 9.523809523809513289e-01 0.000000000000000000e+00 6.825396825396818024e+00 3.226666666666666572e-01 5.466666666666666341e-01 1.600000000000000033e-02 0.000000000000000000e+00 1.146666666666666667e-01
2.500000000000000000e+02 1.925925925925925597e+01 3.227513227513227179e+01 9.523809523809523281e-01 0.000000000000000000e+00 6.349206349206348854e+00 3.273381294964028965e-01 5.485611510791367218e-01 1.618705035971223019e-02 0.000000000000000000e+00 1.079136690647481966e-01
2.600000000000000000e+02 1.938178780284043867e+01 3.283208020050125953e+01 7.518796992481204811e-01 0.000000000000000000e+00 7.017543859649124194e+00 3.231197771587743794e-01 5.473537604456824024e-01 1.253481894150417809e-02 0.000000000000000000e+00 1.169916434540389932e-01
2.700000000000000000e+02 2.045621780721118199e+01 3.325974981604120018e+01 8.830022075055186104e-01 0.000000000000000000e+00 7.211184694628402170e+00 3.309523809523809423e-01 5.380952380952380709e-01 1.428571428571428527e-02 0.000000000000000000e+00 1.166666666666666685e-01
2.800000000000000000e+02 2.117758784425451779e+01 3.485280151946820126e+01 1.044634377967711636e+00 0.000000000000000000e+00 6.647673314339983541e+00 3.323397913561847994e-01 5.469448584202682984e-01 1.639344262295082053e-02 0.000000000000000000e+00 1.043219076005961199e-01
2.900000000000000000e+02 2.049134561697376000e+01 3.227247347850363468e+01 1.005025125628140836e+00 0.000000000000000000e+00 6.867671691792295974e+00 3.379373848987108908e-01 5.322283609576426988e-01 1.657458563535911533e-02 0.000000000000000000e+00 1.132596685082872950e-01
3.000000000000000000e+02 2.049549549549549710e+01 3.385885885885885926e+01 7.507507507507508171e-01 0.000000000000000000e+00 7.132132132132133151e+00 3.293124246079613959e-01 5.440289505428226313e-01 1.206272617611580181e-02 0.000000000000000000e+00 1.145958986731001189e-01
3.100000000000000000e+02 1.956815114709851500e+01 3.085919928025191084e+01 8.547008547008546619e-01 0.000000000000000000e+00 6.792622582096266015e+00 3.369481022463206576e-01 5.313710302091402271e-01 1.471727343144848925e-02 0.000000000000000000e+00 1.169635941130906243e-01
3.200000000000000000e+02 1.984702093397745060e+01 3.172302737520127991e+01 1.127214170692431239e+00 0.000000000000000000e+00 6.884057971014490462e+00 3.331081081081080919e-01 5.324324324324324342e-01 1.891891891891891997e-02 0.000000000000000000e+00 1.155405405405405400e-01
3.300000000000000000e+02 2.011784511784511409e+01 3.261784511784511409e+01 1.178451178451178194e+00 0.000000000000000000e+00 7.028619528619526768e+00 3.301104972375690783e-01 5.352209944751381565e-01 1.933701657458563455e-02 0.000000000000000000e+00 1.153314917127071793e-01
3.400000000000000000e+02 1.976744186046511231e+01 3.229974160206717215e+01 1.205857019810507857e+00 0.000000000000000000e+00 7.062876830318688626e+00 3.276231263383297398e-01 5.353319057815846271e-01 1.998572448251249162e-02 0.000000000000000000e+00 1.170592433975731622e-01
3.500000000000000000e+02 1.990182954038375129e+01 3.186077643908968327e+01 1.160196340919232183e+00 0.000000000000000000e+00 7.184292726461398715e+00 3.311061618411284546e-01 5.300668151447661680e-01 1.930215293244246302e-02 0.000000000000000000e+00 1.195248700816629595e-01
3.600000000000000000e+02 2.028087567121023937e+01 3.205287071458074877e+01 1.363073110285005995e+00 0.000000000000000000e+00 7.269723254853365013e+00 3.326558265582655882e-01 5.257452574525744993e-01 2.235772357723577256e-02 0.000000000000000000e+00 1.192411924119241157e-01
3.700000000000000000e+02 2.004040404040404155e+01 3.131313131313131137e+01 1.212121212121212155e+00 0.000000000000000000e+00 7.555555555555555358e+00 3.333333333333333148e-01 5.208333333333333703e-01 2.016129032258064460e-02 0.000000000000000000e+00 1.256720430107526876e-01
